/ˈeɪ/, /ə/	a
/ˈɑː/	aah
/ˈɑːdvɑːk/	aardvark
/ˈɑːdvɑːks/	aardvarks
/ˈɑːdwʊlf/	aardwolf
/ɐbˈæ/	aba
/æbˈækɐ/	abaca
/ɐbˈæk/	aback
/ˈæbækəs/	abacus
/ˈæbɐkəsɪz/	abacuses
/ɐbˈæləʊn/	abalone
/ɐbˈændən/	abandon
/ɐbˈændənd/	abandoned
/ɐbˈændənɪŋ/	abandoning
/ɐbˈændənmənt/	abandonment
/ɐbˈændənz/	abandons
/ɐbˈæz/	abas
/ɐbˈeɪs/	abase
/ɐbˈeɪsmənt/	abasement
/ɐbˈæʃt/	abashed
/ɐbˈeɪt/	abate
/ɐbˈeɪtɪd/	abated
/ɐbˈeɪtmənt/	abatement
/ɐbˈeɪts/	abates
/ɐbˈeɪtɪŋ/	abating
/ˈæbɐtwˌɑː/	abattoir
/ˈæbɐtwˌɑːz/	abattoirs
/ˈæbɐ/	abba
/ˈæb/	abb
/ˈæbɛs/	abbess
/ˈæbɛsɪz/	abbesses
/ˈæbi/	abbey
/ˈæbiz/	abbeys
/ˈæbət/	abbot
/ˈæbəts/	abbots
/ɐbɹˈiːvɪˌeɪt/	abbreviate
/ɐbɹˈiːvɪˌeɪtɪd/	abbreviated
/ɐbɹˈiːvɪˌeɪts/	abbreviates
/ɐbɹˈiːvɪˌeɪtɪŋ/	abbreviating
/ɐbɹˌiːvɪˈeɪʃən/	abbreviation
/ɐbɹˌiːvɪˈeɪʃənz/	abbreviations
/ˈæbdɪkˌeɪt/	abdicate
/ˈæbdɪkˌeɪtɪd/	abdicated
/ˈæbdɪkˌeɪts/	abdicates
/ˈæbdɪkˌeɪtɪŋ/	abdicating
/ˌæbdɪkˈeɪʃən/	abdication
/ˈæbdəmən/	abdomen
/ˈæbdəmənz/	abdomens
/æbdˈɒmɪnəl/	abdominal
/ɐbdˈʌkt/	abduct
/ɐbdˈʌktɪd/	abducted
/ɐbdˈʌktɪŋ/	abducting
/ɐbdˈʌkʃən/	abduction
/ɐbdˈʌkʃənz/	abductions
/ɐbdˈʌktɐ/	abductor
/ɐbdˈʌktəz/	abductors
/ɐbdˈʌkts/	abducts
/ɐbˈiːm/	abeam
/ɐbˈɛd/	abed
/ɐbˈɛɹənt/	aberrant
/ˌæbəɹˈeɪʃən/	aberration
/ˌæbəɹˈeɪʃənz/	aberrations
/ɐbˈɛt/	abet
/ɐbˈɛtɪd/	abetted
/ɐbˈɛtɪŋ/	abetting
/ɐbˈeɪəns/	abeyance
/ɐbhˈɔː/	abhor
/ɐbhˈɔːd/	abhorred
/ɐbhˈɒɹəns/	abhorrence
/ɐbhˈɒɹənt/	abhorrent
/ɐbhˈɔːɹɪŋ/	abhorring
/ɐbhˈɔːz/	abhors
/ɐbˈaɪd/	abide
/ɐbˈaɪdɪd/	abided
/ɐbˈaɪdz/	abides
/ɐbˈaɪdɪŋ/	abiding
/ɐbˈaɪz/	abies
/ˈæbɪɡˌeɪl/	abigail
/ɐbˈɪlətˌiz/	abilities
/ɐbˈɪlətˌi/	ability
/æbdʒˈɛkʃən/	abjection
/ˈæbdʒɛktli/	abjectly
/ɐbdʒjˈɔː/	abjure
/ɐblˈeɪtiən/	ablation
/ɐblˈeɪz/	ablaze
/ˈeɪbəl/	able
/ˈeɪblɐ/	abler
/ˈeɪbləst/	ablest
/ɐblˈuːʃən/	ablution
/ɐblˈuːʃənz/	ablutions
/ˈeɪbli/	ably
/ˈæbnɪɡˌeɪt/	abnegate
/ˌæbnɪɡˈeɪʃən/	abnegation
/ɐbnˈɔːməl/	abnormal
/ɐbnɔːmˈælɪtiz/	abnormalities
/ɐbnɔːmˈælɪti/	abnormality
/ɐbnˈɔːməli/	abnormally
/ɐbˈɔːd/	aboard
/ɐbˈəʊd/	abode
/ɐbˈəʊdz/	abodes
/ɐbˈɒlɪʃ/	abolish
/ɐbˈɒlɪʃt/	abolished
/ɐbˈɒlɪʃɪz/	abolishes
/ɐbˈɒlɪʃɪŋ/	abolishing
/ɐbˈɒlɪʃmənt/	abolishment
/ˌæbəlˈɪʃən/	abolition
/ˌæbəlˈɪʃənˌɪst/	abolitionist
/ˌæbəlˈɪʃənˌɪsts/	abolitionists
/ɐbˈɒmɪnəbəl/	abominable
/ɐbˈɒmɪnəbli/	abominably
/ɐbˈɒmɪnˌeɪt/	abominate
/ɐbˈɒmɪnˌeɪtɪd/	abominated
/ɐbˌɒmɪnˈeɪʃən/	abomination
/ɐbˌɒmɪnˈeɪʃənz/	abominations
/ɐbˈɒmɪnˌeɪtɐ/	abominator
/ˌæbəɹˈɪdʒɪnəl/	aboriginal
/ˌæbəɹˈɪdʒɪnəlz/	aboriginals
/ˌæbəɹˈɪdʒənˌi/	aborigine
/ˌæbəɹˈɪdʒənˌiz/	aborigines
/ɐbˈɔːt/	abort
/ɐbˈɔːtɪd/	aborted
/ɐbˈɔːtɪŋ/	aborting
/ɐbˈɔːʃən/	abortion
/ɐbˈɔːʃənˌɪst/	abortionist
/ɐbˈɔːʃənˌɪsts/	abortionists
/ɐbˈɔːʃənz/	abortions
/ɐbˈɔːtɪv/	abortive
/ɐbˈɔːts/	aborts
/ɐbˈaʊnd/	abound
/ɐbˈaʊndɪd/	abounded
/ɐbˈaʊndɪŋ/	abounding
/ɐbˈaʊndz/	abounds
/ɐbˈaʊt/	about
/əbˈʌv/	above
/ˌæbɹəkədˈæbɹɐ/	abracadabra
/ɐbɹˈeɪd/	abrade
/ɐbɹˈeɪdɪd/	abraded
/ɐbɹˈeɪdz/	abrades
/ɐbɹˈeɪdɪŋ/	abrading
/ɐbɹˈeɪʒən/	abrasion
/ɐbɹˈeɪʒənz/	abrasions
/ɐbɹˈeɪsɪv/	abrasive
/ɐbɹˈeɪsɪvnəs/	abrasiveness
/ɐbɹˈeɪsɪvz/	abrasives
/ɐbɹˈæksəs/	abraxas
/ɐbɹˈɛst/	abreast
/ɐbɹˈi/	abri
/ɐbɹˈɪdʒd/	abridged
/ɐbɹˈɪdʒmənt/	abridgement
/ɐbɹˈɔːd/	abroad
/ˈæbɹəɡˌeɪtɪd/	abrogated
/ˈæbɹəɡˌeɪtɪŋ/	abrogating
/ˌæbɹəɡˈeɪʃən/	abrogation
/ɐbɹˈʌpt/	abrupt
/ɐbɹˈʌpʃən/	abruption
/ɐbɹˈʌptli/	abruptly
/ɐbɹˈʌptnəs/	abruptness
/ˈæbz/	abs
/ˈæbsɛs/	abscess
/ˈæbsɛsɪz/	abscesses
/ɐbskˈɒnd/	abscond
/ɐbskˈɒndɪd/	absconded
/ɐbskˈɒndɪŋ/	absconding
/ɐbskˈɒndz/	absconds
/ˈæbseɪl/	abseil
/ˈæbseɪld/	abseiled
/ˈæbseɪlɐ/	abseiler
/ˈæbseɪlɪŋ/	abseiling
/ˈæbseɪlz/	abseils
/ˈæbsəns/	absence
/ˈæbsənsɪz/	absences
/æbsˈɛntɪd/	absented
/ˌæbsəntˈiː/	absentee
/ˌæbsəntˈiːɪzəm/	absenteeism
/ˌæbsəntˈiːz/	absentees
/æbsˈɛntɪŋ/	absenting
/ˌæbsəntmˈaɪndɪd/	absentminded
/ˌæbsəntmˈaɪndɪdli/	absentmindedly
/ˈæbsɪnθ/	absinthe
/ˈæbsəlˌuːt/	absolute
/ˌæbsəlˈuːtli/	absolutely
/ˈæbsəlˌuːts/	absolutes
/ˌæbsəlˈuːʃən/	absolution
/ˈæbsəlˌuːtɪzəm/	absolutism
/ˈæbsəlˌuːtɪst/	absolutist
/ɐbsˈɒlv/	absolve
/ɐbsˈɒlvd/	absolved
/ɐbsˈɒlvz/	absolves
/ɐbsˈɒlvɪŋ/	absolving
/ɐbsˈɔːbəbəl/	absorbable
/ɐbsˈɔːb/	absorb
/ɐbsˈɔːbd/	absorbed
/ɐbsˈɔːbənsi/	absorbency
/ɐbsˈɔːbənt/	absorbent
/ɐbsˈɔːbɐ/	absorber
/ɐbsˈɔːbəz/	absorbers
/ɐbsˈɔːbɪŋ/	absorbing
/ɐbsˈɔːbz/	absorbs
/ɐbsˈɔːpʃən/	absorption
/ɐbstˈeɪn/	abstain
/ɐbstˈeɪnd/	abstained
/ɐbstˈeɪnəz/	abstainers
/ɐbstˈeɪnɪŋ/	abstaining
/ɐbstˈeɪnz/	abstains
/ɐbstˈiːmiəs/	abstemious
/ɐbstˈɛnʃən/	abstention
/ɐbstˈɛnʃənz/	abstentions
/ˈæbstɪnəns/	abstinence
/ˈæbstɪnənt/	abstinent
/ɐbstɹˈæktɪd/	abstracted
/ɐbstɹˈæktɪŋ/	abstracting
/ɐbstɹˈækʃən/	abstraction
/ɐbstɹˈækʃənz/	abstractions
/ɐbstɹˈæktli/	abstractly
/ɐbstɹˈuːs/	abstruse
/ɐbsˈɜːd/	absurd
/ɐbsˈɜːdɪst/	absurdist
/ɐbsˈɜːdɪtiz/	absurdities
/ɐbsˈɜːdɪti/	absurdity
/ɐbsˈɜːdli/	absurdly
/ɐbˈʌndəns/	abundance
/ɐbˈʌndənsɪz/	abundances
/ɐbˈʌndənt/	abundant
/ɐbˈʌndəntli/	abundantly
/ɐbjˈuːsd/	abused
/ɐbjˈuːsɐ/	abuser
/ɐbjˈuːsəz/	abusers
/ɐbjˈuːsɪŋ/	abusing
/ɐbjˈuːsɪv/	abusive
/ɐbjˈuːsɪvli/	abusively
/ɐbˈʌt/	abut
/ɐbˈʌtmənt/	abutment
/ɐbˈʌtmənts/	abutments
/ɐbˈʌts/	abuts
/ɐbˈʌtɪŋ/	abutting
/ɐbˈʌz/	abuzz
/ɐbˈaɪ/	aby
/ɐbˈɪsməl/	abysmal
/ɐbˈɪsməli/	abysmally
/ɐbˈɪsəl/	abyssal
/ɐbˈɪs/	abyss
/ɐbˈɪsɪz/	abysses
/ɐkˈeɪʃɐ/	acacia
/ɐkˈeɪʃəz/	acacias
/ɐkˈædəmˌi/	academe
/ˌækədˈiːmiə/	academia
/ˌækədˈɛmɪk/	academic
/ˌækədˈɛmɪkəl/	academical
/ˌækədˈɛmɪkli/	academically
/ˌækədɪmˈɪʃən/	academician
