ABSORB	swenglish absorb
ADMETE	name from Greek mythology
AGAM	the Agama Agama lizard
AGEN	a city in France?
AGNARYD	uninhabited place in Småland
AGNE	Swedish boy name
AINA	Swedish girl name
AKSDAL	town in west Norway
AKURUM	a kind of big bottle used by the Turkana people in east Africa
AKUT	acute	emergency room
ALARM	alarm
ALEX	Swedish boy name
ALG	alga (singular of algae)
ALKALISK	alkaline
ALLAK	mountain in arctic Sweden
ALLAMÅLA	place in Småland
ALSARP	village in Småland
ALSEDA	place in Småland
ALSTER	creation/product
ALSVIK	place in Stockholm archipelago
ALVE	Old Swedish boy name
ALVINE	Old English girl name
ALÄNG	part of the town of Västervik in Sweden
AMALIA	Swedish girl name
AMON	seems like this is the Egyptian deity Amun-Ra
AMORF	amorphous
ANDREA	Swedish girl name
ANDRUP	Danish village
ANDY	Swedish boy name
ANEBODA	part of Lammhult in Sweden
ANEMON	sea anemone
ANITA	Swedish girl name
ANJA	Swedish girl name
ANNAMOA	Swedish girl name
ANNARS	otherwise
ANNO	year (from latin)
ANNONS	advert
ANORDNA	arrange
ANRIK	rich in heritage
ANSLUTA	join/connect
ANSSI	Finnish boy name
ANTIFONI	antiphon
ANTIK	ancient
ANTILOP	antilope
ANTONIUS	Latin boy name
APA	ape/monkey
APELSKÄR	Swedish island on south east coast
ARHOLMA	an island in the Stockholm archipelago
ARILD	part of the city of Höganäs, Sweden
ARRAK	Asian alcoholic beverage, used to make Swedish Punsch
ARV	inheritance	heritage
ARVINN	Norwegian boy name
ASKER	Norwegian city near Oslo
ASPEKT	aspect
ASPELUND	arctic Norwegian city
ASPUDDEN	Stockholm neighborhood and subway station
ASPVIK	'Aspen Bay'. In central Sweden
ASTER	Aster
ASTRAKAN	an apple variety popular in Sweden
ATNA	village in south east Norway
ATTEST	certificate
ATTITYD	attitude
AUKRA	town in west Norway
BAGGE	ram
BAGIS	slang 1 Krona ($0.14)	slang the Stockholm suburb of Bagarmossen
BALK	beam
BALSER	?
BAND	ribbon	(recording) tape	(rock) band
BAREN	the bar
BARNSLIG	childish
BAROMETER	barometer
BASISK	alkaline
BASTANT	big & solid
BATIST	cambric cloth
BEATA	Swedish girl name
BEDDINGE	place in southernmost Sweden
BEHANDLA	(to) treat
BEHÖVD	needed
BEKVÄM	comfortable
BELLINGE	place in Denmark
BENJAMIN	Swedish boy name
BENNO	Swedish boy name
BERGSBO	?
BERIT	Swedish girl name
BERNHARD	Swedish boy name
BERTA	Swedish girl name
BERTBY	?
BERTIL	Swedish boy name
BERYLL	beryl (a mineral)
BERÄTTA	(to) tell
BERÖM	praise
BESKÅDA	(to) view
BESTÅ	remain	consist of
